,name,category,author,categories_list,view_count,ratting_value,ratting_count,chapter_cout
0,Cahe Detective Club,Shounen,Fujishiro Takeshi,"School Life, Comedy, Shounen, ","20,262",4,20262,Cahe detective club chap 7
1,Cửu Châu Ngự Cống Đồ,Manhua,Koi goes wild,"Cổ Đại, Action, Manhua, Shounen, ","87,999",4,87999,Chap 5
2,Cẩm Tú Vị Ương,Drama,Tần Giản,"Drama, Romance, Shoujo, Manhua, ","87,997",4,87997,Chapter 86
3,Cưng Chiều Đào Phi,Comedy,,"Romance, Shoujo, Comedy, Manhua, ","73,269",4,73269,Cưng Chiều Đào Phi – Chap 78
4,Cuộc chiến với quái vật tại Kỷ Nguyên 430,Manhwa,Kim Sung Min,"Action, Adventure, Manhwa, ","87,995",4,87995,Chapter 20
5,Torokeru Tsumugi-Cha,School Life,Đang cập nhật,"Romance, School Life, Shoujo, Comedy, Manga, ","87,991",4,87991,Chapter 2
6,Vô Ngã Càn Khôn,Martial Arts,Viên Gia Bảo - Hải Dương số 2,"Martial Arts, Manhua, ","87,990",4,87990,Chapter 1
7,APH doujinshi - Houwa,Doujinshi,Komugiko,"Shoujo Ai, One Shot, Doujinshi, Shounen, ","87,988",4,87988,Chapter 1
8,Tiên Trụ,Manhua,Đang cập nhật,"Mystery, Manhua, Martial Arts, ","87,985",4,87985,Chapter 159
9,Heart no Okashi,Yuri,"Tokumi Yuiko,Hakka - ya","Yuri, Doujinshi, ","87,980",4,87980,Chapter 1: One shot
10,Trái Tim Băng Giá,Manhua,胡桃（主笔）+快看漫画团队（编剧）,"Romance, Supernatural, Shoujo, Comedy, Manhua, ","87,975",4,87975,Tuyển <3
11,Ghi lại khoảnh khắc tình yêu,Shoujo,Tương Du Tạc Kê / Tinh Không Xã,"School Life, Shoujo, ","87,970",4,87970,Chapter 5
12,SNOW GIFT,Manga,Đang cập nhật,"Manga, ","87,969",4,87969,Chapter 1: 
13,Thanh Niên Trai Tân và Cô Gái Nô Lệ,Webtoon,Bongbanjang,"Webtoon, Manhwa, ","87,968",4,87968,Chapter 50: 
14,Kuroko No Basket Dj –Good Night Darling,Shoujo Ai,Đang cập nhật,"Romance, Shoujo Ai, One Shot, Shounen, ","87,966",4,87966,Chapter 1
15,Koi Kyokusei,Drama,Mitsuya Omi,"Romance, Slice of Life, Shoujo, Drama, Tragedy, ","87,964",4,87964,Koi kyokusei chap 2
16,Truyện Sims - Earl Story,Drama,Ericos,"Drama, Fantasy, Romance, ","87,961",4,87961,Chapter 89
17,Kim Chi và Củ Cải,Manhwa,Đang cập nhật,"Comedy, Manhwa, ","87,961",4,87961,Chapter 963
18,K9-JINJA NO MORI NO NORA NEKO-KUN,Shoujo,Chiyori,"Shoujo, ","87,954",4,87954,K9
19,Kocchi Muite Waratte,Romance,Ichikawa Kei,"Romance, Shounen-ai, Comedy, Slice of Life, Soft Yaoi, ","87,953",4,87953,Kocchi muite waratte chap 3
20,Survival - Shounen S no Kiroku,Drama,"SAITO Takao,MIYAGAWA Akira","Drama, Adventure, Shounen, ","87,952",4,87952,Survival 
21,Trùng Sinh Đích Nữ Nghịch Tập,Romance,Đang cập nhật,"Cổ Đại, Romance, Manhua, ","87,948",4,87948,Chapter 3
22,Chú Thoòng (Full trọn bộ),Comedy,Vương Trạch,"Comedy, ","87,946",4,87946,Chapter 43
23,Cà Khịa Với Khổng Lồ,Manga,Isayama Hajime,"Slice of Life, Fantasy, Adventure, Action, Comedy, Manga, ","87,944",4,87944,Chapter 5
24,Song Diện Sư Tôn Chớ Làm Loạn,Cổ Đại,Đang cập nhật,"Cổ Đại, Drama, Xuyên Không, Manhua, Mystery, ","87,944",4,87944,Chapter 1
25,TA LÀM TRỢ THỦ CHO NGUYỆT LÃO ,Cổ Đại,Sa Bà Phiêu Bạt,"Cổ Đại, Manhua, ","87,943",4,87943,CHAP 2 
26,Psycho,Psychological,Crish Evil,"Psychological, Horror, Yaoi, Đam Mỹ, ","87,941",4,87941,Chương 1: Thỏa thuận
27,CON GÁI của BIỂN CẢ,Slice of Life,M.J.H,"Romance, Fantasy, Slice of Life, ","87,939",4,87939,bi vàng 
28,Gia Đình Trong Mơ,School Life,,"Romance, School Life, Shoujo, Comedy, ","87,932",4,87932,Gia Đình Trong Mơ chap 17
29,Jinrou Game 2 - The Beast Side,,KAWAKAMI Ryou - Koudon,", ","87,929",4,87929,Chapter 7
30,Ngôi Sao Sugar,Romance,Đang cập nhật,"Romance, School Life, Shoujo, Comedy, ","87,923",4,87923,Chapter 6
31,Onnanoko ga Shinu Hanashi,School Life,YANAGIMOTO Mitsuharu,"Drama, Seinen, Slice of Life, Romance, School Life, Tragedy, ","87,921",4,87921,Onnanoko ga shinu hanashi chap 8
32,Sakashita-senpai no Koigokoro,School Life,MIZUNO Minami,"Romance, School Life, Shoujo, One Shot, ","87,907",4,87907,Chapter 0
33,Touhou - The King of Moriya,,Đang cập nhật,", ","87,906",4,87906,Chapter 8
35,Thần Khí Vương,Comedy,Yung-Jen Chang,"Seinen, Manhua, Shounen, Fantasy, Supernatural, Adventure, Action, Comedy, ","87,892",4,87892,Thần khí vương chap 25
36,Kao ga Ii Kara Yurushichau,School Life,HARADA Yui,"Romance, School Life, Shoujo, ","87,884",4,87884,Kao ga ii kara yurushichau chap 7 : end
