,name,category,author,categories_list,view_count,ratting_value,ratting_count,chapter_cout
0,Fairy Heart,Manhua,Tara,"Manhua, ","30,645",4,30645,Fairy heart chap 10
1,Inu Jikan (Wicked World),Shoujo,Đang cập nhật,"Romance, School Life, Shoujo, ","30,645",4,30645,Chapter 3
2,Esper Mami - Siêu nhân Mami,Comedy,FUJIKO F. Fujio,"Action, Fantasy, Comedy, Supernatural, Adventure, ","30,639",4,30639,Chapter 28
3,Tokyo Hatsu Isekai Yuki,Slice of Life,Ohtake Masao,"Slice of Life, Gender Bender, Comedy, One Shot, Supernatural, ","30,639",4,30639,Chapter 9
4,Dạo quanh lãnh địa Demon,Adventure,Fuse - KAWAKAMI Taiki,"Fantasy, Comedy, Adventure, Shounen, ","30,638",4,30638,Chapter 77
5,Xuyên Vào Tiểu Thuyết : Nữ Phụ Muốn Sống! (Tạm Drop),Romance,Vương Khúc Chi,"Romance, Xuyên không, Manhua, ","30,632",4,30632,Thông Báo Tạm Drop 
7,Sakura no Nekohime,,Đang cập nhật,", ","30,615",4,30615,Chapter 12
8,Thuật Sĩ Đến Từ Tương Lai,School Life,Đang cập nhật,"Action, School Life, Manhua, ","30,613",4,30613,Chapter 79
9,7 nen me no dou kiyo nin,Manga,Đang cập nhật,"Romance, School Life, One Shot, Manga, ","30,611",4,30611,Chapter 7: nen me no dou kiyo nin
10,Sprout,Romance,NANBA Atsuko,"Drama, Romance, Shoujo, Slice of Life, ","30,610",4,30610,Sprout chương 001
11,Kigurumi Planet,School Life,,"Drama, Sci-fi, Fantasy, Romance, School Life, Adventure, Comic, Comedy, ","30,609",4,30609,Chapter 9
12,Five,Romance,Furukawa Shiori,"Drama, Harem, Romance, School Life, Shoujo, Action, ","30,608",4,30608,Chapter 1
13,Delivery Cinderella,Drama,Non,"Slice of Life, Drama, Seinen, ","102,586",4,102586,Delivery cinderella chap 16
14,Minotauruss Sweetheart,Comedy,Keijirou,"Action, Fantasy, Romance, Comedy, Manga, ","30,603",4,30603,Chapter 4
15,Escape from High School Girls,Horror,Dowman Sayman,"Romance, School Life, Comic, Horror, ","30,602",4,30602,Escape from High School Girls OneShot
16,Thiếu Phật,Đam Mỹ,Truy Quang Tả Ảnh,"Cổ Đại, Manhua, Đam Mỹ, ","30,599",4,30599,Chapter 6
17,"Thế Thân Phiền Toái, Tổng Tài Một Sắc Khí",Manhua,阿柯文化,"Manhua, ","30,589",4,30589,Chap 6.2
18,Chiếc Mặt Nạ Gỗ,Psychological,KIRO,"Mystery, VnComic, Horror, One Shot, Shounen, Psychological, Supernatural, ","30,584",4,30584,Chiếc Mặt Nạ Gỗ OneShot
19,Rage Comic-Troll,Comedy,Nhiều tác giả,"Comedy, ","30,580",4,30580,Chapter 83: 
20,Vật cản tình yêu,Manhwa,Joen Young Hee,"Drama, Harem, Sci-fi, Fantasy, Manhwa, Romance, School Life, Shoujo, Gender Bender, Comedy, ","30,576",4,30576,Chapter 9
21,PJ Working,Romance,Takatsu Karino,"Romance, Slice of Life, Seinen, Comedy, Manga, ","30,572",4,30572,PJ Working chap 36
22,La Vie en Doll,Seinen,Inoue Junya,"Drama, Mystery, Seinen, Supernatural, Psychological, ","30,571",4,30571,La vie en doll chap 4
23,The Fang | Nanh Vuốt,Comic,AAM Markosia,"Comic, Supernatural, Horror, ","30,569",4,30569,Chapter 1: Câu chuyện về Dracula
24,walkure romanze shoujo kishi monogatari-new new hot hot hot,Harem,Author:Ricotta - Artist:Mitsu King,"Romance, Harem, Comedy, Sports, ","30,566",4,30566,Chapter 3.2
25,Cuộc hành trình của Pháp sư,Historical,Đang cập nhật,"Manhwa, Shounen, Adventure, Historical, Action, Shounen-ai, Comedy, ","30,565",4,30565,Chapter 5
26,Song Sinh Linh Thám,Horror,Tiểu Nhiên Chỉ Ngư,"Mystery, Horror, Manhua, ","30,563",4,30563,Chapter 72: lựa chọn!!
27,Ane Golem,One Shot,Horiizumi Inco,"Romance, Comedy, One Shot, ","30,557",4,30557,Ane Golem OneShot
28,King of Fighters Kyo,Martial Arts,Natsumoto Masato,"Action, Martial Arts, Manga, ","30,556",4,30556,Chapter 9: 
29,Nam thần phải lòng tôi?,School Life,飞鸟熙熙,"Romance, School Life, ","30,555",4,30555,Tỏ tình (3)
30,Pochamani,School Life,Hirama Kaname,"School Life, Shoujo, ","30,554",4,30554,Chapter 13: 362726
31,cube x cursed x curious,Shounen,"MINASE Hazuki,AKINA Tsukako","Harem, Shounen, Romance, School Life, Supernatural, Action, Comedy, ","30,547",4,30547,Cube x cursed x curious chap 3
32,Toxic,Action,Takahashi Ryo,"Action, Drama, ","30,546",4,30546,Toxic chap 15
33,All Star Section Eight,Supernatural,,"Action, Supernatural, Adventure, ","30,545",4,30545,All star section eight chap 1
34,Zero kara Hajimeru Mahou no Sho,Seinen,KOBASHIRI Kakeru,"Fantasy, Seinen, Comedy, Adventure, ","30,541",4,30541,Zero kara hajimeru mahou no sho chapter 01p2
35,Nhân vật phản diện: Không ngọt không lấy tiền,Manhua,Sa Bà Phiêu Bạt,"Drama, Romance, Manhua, ","30,533",4,30533,Chapter 34: Người đàn ông không có chủ kiến
36,Ashita No 3600-Byou,School Life,KONNO Risa,"Romance, School Life, Shoujo, Comedy, Supernatural, ","30,525",4,30525,Chap 5
37,Vùng Đất Xám,Supernatural,Đang cập nhật,"Mystery, Webtoon, Horror, Manhwa, Drama, Supernatural, Action, ","30,522",4,30522,Chapter 20
38,Kaze no Sylphid - Phong Mã Silphid,Sports,Motoshima,"Manga, Sports, ","30,514",4,30514,Chapter 15
39,Touch Blue,Romance,Kujou Aoi,"Drama, Romance, ","30,514",4,30514,Chapter 5
40,Tôi Thăng Cấp Một Mình SS2,Webtoon,Đang cập nhật,"Action, Adventure, Webtoon, Manhwa, Shounen, ","30,499",4,30499,Chapter 16
41,Ông anh loli của tôi,School Life,Yan Xue,"Romance, School Life, Shoujo, Comedy, Gender Bender, ","30,493",4,30493,Chap 20
42,Kara no Kyoukai - The Garden of Sinners,Supernatural,Đang cập nhật,"Romance, Horror, Supernatural, Adventure, ","30,492",4,30492,Chapter 19: Plot 3 
43,"Jimide Medatanai Watashi wa, Kyou de Owari ni Shimasu",Slice of Life,Đang cập nhật,"Psychological, Slice of Life, Cooking, Drama, Fantasy, Shoujo, Manga, ","30,492",4,30492,Chapter 2
44,James Bond 2015,Sci-fi,DYNAMITE entertainment,"Sci-fi, Horror, Psychological, Adventure, Historical, Trinh Thám, Action, Comic, Comedy, ","30,491",4,30491,Chapter 5
45,Back Alley Magical Detective Agency,Shounen,Ooki Risa,"One Shot, Shounen, Romance, Fantasy, Action, Comedy, ","30,490",4,30490,Back Alley Magical Detective Agency OneShot Part 2
46,Nhất Phẩm Đích Nữ.,Manhua,Chưởng Nguyệt & Thải Tiên,"Cổ Đại, Drama, Romance, Manhua, ","30,490",4,30490,Chapter 11
47,The Wife-to-Be,Slice of Life,Fujiwara Ei,"Slice of Life, Shoujo, One Shot, Shoujo Ai, ","30,486",4,30486,Chapter 0
48,Tôi Không Thua Cậu đâu ,Cooking,Vô tư,"Comedy, Cooking, ","30,479",4,30479,....
49,Cửu Tiêu Chí Thánh,Manhua,Đang cập nhật,"Action, Manhua, Adventure, ","30,477",4,30477,Chapter 11
50,Tuyệt Phẩm Y Thánh,Martial Arts,Đang cập nhật,"Martial Arts, Manhua, ","30,476",4,30476,Chapter 162
51,Thời Gian Trôi Nhanh,Cooking,MèoĐen,"Comic, Cooking, ","30,474",4,30474,Ai muốn xem
52,Miman Renai,Comedy,Katashima Hiromi,"Harem, Slice of Life, Romance, School Life, Shoujo, Comedy, ","30,459",4,30459,Miman renai chap 17
53,Gokiburi Gijinka,Manga,RUI Tamati,"One Shot, Manga, ","30,457",4,30457,Chapter 42
54,Khi Đàn Ông Kết Hôn,Romance,Đang cập nhật,"Drama, Romance, Soft Yaoi, ","30,453",4,30453,Chapter 5
55,Luôn Có Thần Tiên Muốn Hãm Hại Ta,Anime,Đang cập nhật,"Mystery, Manhua, Anime, ","30,451",4,30451,Chapter 112
56,Giấc Mơ Bươm Bướm ?,Manga,_Sao_,"Manga, ","30,451",4,30451,Thông báo 1 xíu
57,I Became a Villain Daughter,Drama,Đang cập nhật,"Romance, School Life, Slice of Life, Drama, Fantasy, Shoujo, Historical, Comedy, Manga, ","30,450",4,30450,Chapter 7
58,Hoa lạc nhất mộng,Manhua,A Kha văn hóa,"Cổ Đại, School Life, Manhua, Đam Mỹ, ","30,449",4,30449,Chương 18
60,"The Two Gets by Tomorrow Too, More or Less.",Comedy,Suzuyuki,"Romance, Slice of Life, Seinen, Comedy, ","30,448",4,30448,Chapter 11
61,Rolling,,Đang cập nhật,", ","30,445",4,30445,Chapter 6
62,Hokenshitsu no Tsumuri-san,School Life,Đang cập nhật,"Slice of Life, School Life, Seinen, Comedy, ","30,445",4,30445,Chapter 1.5
63,Hựu Nhất Xuân,Comedy,,"Manhua, Comedy, Supernatural, Xuyên Không, ","30,432",4,30432,Hựu nhất xuân 
