,name,category,author,categories_list,view_count,ratting_value,ratting_count,chapter_cout
0,Đặc trợ của hoàng thái tử,Romance,Đa Uẩn Văn Hóa,"Romance, Xuyên không, Manhua, ","49,907",4,49907,Chapter 2
1,Thánh Thần Trẻ Trâu,Romance,Đang cập nhật,"Josei, Slice of Life, Manhwa, Romance, Shoujo, Comedy, ","49,908",4,49908,Chapter 73
2,Death Note omake,Comedy,"Tsugumi Ohba,Takeshi Obata","Action, Comedy, One Shot, ","49,888",4,49888,Death note omake oneshot
3,Khế Ước Nam Phượng Hoàng,Manhua,Comicool,"Romance, Manhua, ","49,883",4,49883,Chap 23
4,Quân Phiệt Lão Công: Thẩm Thẩm Muốn Thượng Vị,Drama,Nhạn Quy Lai,"Drama, Romance, Shoujo, Manhua, ","49,880",4,49880,Chapter 51
5,Nếu Là Tình Yêu,School Life,Mèo Su Ri,"School Life, ","49,876",4,49876,Chap1
6,Thế giới game M,School Life,Fullmoon200,"Romance, School Life, Xuyên không, ","49,876",4,49876,Chap 11
7,Air Koi,Drama,Nanajima Kana,"Drama, Romance, Shoujo, Tragedy, School Life, ","49,873",4,49873,Air Koi 003
8,Jiisama Ga Iku,Action,Hotaruishi - AYANO Urasuke,"Action, Fantasy, ","49,859",4,49859,Chapter 1.1
9,"Đối Với Cậu, Tớ Đều Nghe Theo",Romance,Đang cập nhật,"Romance, Shoujo, Manhua, ","49,856",4,49856,Chapter 3
10,Cửu Vĩ ức tình,Romance,Đang cập nhật,"Romance, Manhua, Đam Mỹ, ","49,853",4,49853,Chapter 4
11,Xí Ngầu Xương,Manhwa,Đang cập nhật,"Mystery, Horror, Manhwa, ","49,837",4,49837,Chapter 5
12,Nichijou,Manga,ARAWI Keiichi,"Adventure, Sci-fi, Manga, ","49,837",4,49837,Chapter 136
13,Học Cách Nuôi Người ( mega team),Horror,Đang cập nhật,"Slice of Life, Horror, Manhua, Webtoon, ","49,831",4,49831,Chapter 1: One shot
14,Type moon doujinshi,Harem,,"Mystery, Harem, Romance, Fantasy, Supernatural, Adventure, Action, Comedy, Doujinshi, ","90,991",4,90991,Type moon doujinshi chap 12
15,Mê Hoặc Lòng Người,Romance,Quất Tử Bì,"Cổ Đại, Drama, Romance, Manhua, Shoujo, ","49,829",4,49829,Chapter 23
16,Ngoại Tình | Second,Drama,Annarae,"Drama, Webtoon, Manhwa, ","49,827",4,49827,Chapter 32
17,Thâu Tinh Cửu Nguyệt Thiên Ngoại Truyện,Manhua,Đang cập nhật,"Comedy, Manhua, ","49,821",4,49821,Chapter 1
18,Houkago Love Age,,Đang cập nhật,", ","49,815",4,49815,Chapter 4
19,Rodiura Kurashi - Official,Shounen,Kuchinashi,"Comedy, Shounen, ","49,813",4,49813,Chapter 6
20,Love Snatcher,Shoujo Ai,Naono Bohra,"Shoujo Ai, Doujinshi, Shounen, ","49,810",4,49810,Chapter 0
21,Sano-San!,Yaoi,SKYJACK,"Doujinshi, Yaoi, ","49,810",4,49810,Sano
