,name,category,author,categories_list,view_count,ratting_value,ratting_count,chapter_cout
0,Conan,Trinh Thám,Gosho Aoyama,"Drama, Mystery, School Life, Trinh Thám, ","1,670,583",4,1670583,Chapter 1052
1,Mười năm yêu anh nhất,Shounen-ai,Đậu hủ mạn họa,"Shounen-ai, Manhua, Đam Mỹ, ","1,112,923",4,1112923,Chap 44
2,Trùng Sinh Chi Ảnh Hậu Mưu Lược,Comedy,lorina,"Xuyên không, Comedy, ","682,085",4,682085,Chap 132
3,Kiều nữ độc phi,Drama,冬漫社,"Drama, Manhua, ","480,421",4,480421,Chap 262
4,1000 Tư Thế Cưa Đổ Tổng Tài,Shoujo,Đại Hành Đạo,"Romance, Shoujo, Manhua, ","470,584",4,470584,Chapter 125
5,Manh thê khó dỗ,Romance,Đang cập nhật,"Romance, ","460,187",4,460187,Chapter 67
6,Nhật Ký Ngược Cặn Bã Của Đặc Công Vương Phi,Comic,Phiếm Thứ Nguyên Văn Hóa  泛次元文化 ,"Cổ Đại, Comic, Xuyên không, Manhua, ","425,058",4,425058,Chương 30: Đối với ta có cảm giác hay không?
7,Inuyasha Bản Đẹp,Fantasy,Rumiko Takahashi,"Fantasy, Shounen, Romance, Truyện scan, Adventure, Historical, Action, ","366,538",4,366538,Inuyasha bản đẹp vol 57.2: Extra
8,Nghịch Thiên Tà Thần,Shounen,Đang cập nhật,"Mystery, Manhua, Shounen, Supernatural, Adventure, Action, ","351,499",4,351499,Chapter 284
9,Hộ Hoa Cao Thủ Tại Vườn Trường,Manhua,Đang cập nhật,"School Life, Manhua, Supernatural, ","349,519",4,349519,Chapter 212
10,Unbending Flower,Fantasy,迷子,"Romance, Fantasy, ","327,555",4,327555,BIỆN MINH
11,Phượng Nghịch Thiên Hạ,Fantasy,Đang cập nhật,"Mystery, Fantasy, Xuyên không, Manhua, ","299,608",4,299608,Chapter 422
12,Những tháng ngày bị thiên địch nuôi dưỡng,Romance,重庆缘:漫动漫,"Romance, Action, Comedy, Manhua, ","272,175",4,272175,chap 154
13,Tu Tiên Trở Về Tại Vườn Trường,Xuyên Không,Đang cập nhật,"Action, Xuyên Không, Manhua, ","263,075",4,263075,Chapter 189
14,Miko Cô Bé Nhí Nhảnh,Comedy,Ono Eriko,"School Life, Comedy, ","258,400",4,258400,Chapter 40
15,Trọng Sinh Địa Cầu Tiên Tôn,Anime,Đang cập nhật,"Action, Manhua, Adventure, Anime, ","252,673",4,252673,Chapter 32
16,Ngạo Kiều Quỷ Vương Yêu Ta,Horror,Son Sắt Nhất Thú Duyệt Võng- Bến Thuyền Trên Trăng,"Romance, Manhua, Horror, Comedy, Supernatural, ","241,489",4,241489,Chapter 121
17,[Truyện Tranh] MAR Heaven - Bản Full Tiếng Việt Mới Nhất,Shounen,Đang cập nhật,"Action, Fantasy, Adventure, Shounen, ","236,123",4,236123,Chapter 161: 
18,Thuần Tình Nha Đầu Hoả Lạt Lạt,Romance,Đang cập nhật,"Romance, Shoujo, Comedy, Manhua, ","234,061",4,234061,Chapter 479
19,Diêm Đế,Fantasy,"Ra In-Soo,Kim Jae Hwan","Magic, Drama, Fantasy, Adventure, Action, Comedy, Martial Arts, ","221,413",4,221413,Diêm Đế 
20,[Truyện Tranh] Tý Quậy - Bản Chất Lượng Cao Mới Nhất,,Đang cập nhật,", ","220,091",4,220091,Chapter 7.2
21,Quan hệ của chúng ta là...,School Life,Đang cập nhật,"Romance, School Life, Manhwa, ","219,354",4,219354,[END CHÍNH TRUYỆN] Chapter 98
22,Kengan Ashua,Martial Arts,Daromeon,"Action, Martial Arts, Shounen, ","207,674",4,207674,Chapter 217
23,Tôi là Cao Phú Soái,Manhua,sfacg,"Harem, Manhua, Shounen, ","201,022",4,201022,Chap 77
24,Nhân Diện Đào Hoa Lưỡng Tương Nghi,Cổ Đại,Kim Mi Na,"Cổ Đại, Đam Mỹ, ","195,029",4,195029,Chap 88 
25,[ML] Đừng Làm Tớ Khóc - Truyện Tranh Tiếng Việt Mới Nhất,Manhua,炎久,"Manhua, Yaoi, Đam Mỹ, ","191,105",4,191105,Chap 99: Anh thích em
26,Black Bird,Romance,SAKURAKOJI Kanoko,"Drama, Romance, Fantasy, Shoujo, Supernatural, Comedy, ","190,907",4,190907,Black bird chap 72.2
27,Anh trai là tên đại ngốc ,Manhua,吉川流,"Manhua, ","188,887",4,188887,Chap 79 
28,Thần sông đại nhân cầu thu dưỡng,Manhua,Nhuệ tư + Y khải,"Manhua, Đam Mỹ, ","188,458",4,188458,Ngoại truyện
29,Hiệp Khách Giang Hồ,Adventure,JEON Geuk Jin,"Action, Martial Arts, Adventure, Manhwa, ","184,823",4,184823,Chapter 600: Raw
30,Thiếu Soái ! Vợ Ngài Lại Bỏ Trốn,Manhua,Đang cập nhật,"Romance, Shoujo, Comedy, Manhua, ","184,483",4,184483,Chapter 295
31,Thâu Tinh Cửu Nguyệt Thiên,Mystery,"Tiểu Tùng,Châu Hồng Tân","Mystery, Drama, Comedy, Manhua, Fantasy, Romance, School Life, Shoujo, Supernatural, Adventure, Action, Xuyên Không, ","181,649",4,181649,Thâu tinh cửu nguyệt thiên chap 458
32,U Minh Ngụy Tượng,Mystery,Lão Thương- Tam Lão gia,"Mystery, Horror, Manhua, ","181,020",4,181020,Chap 337
33,Reiwa Hanamaru Gakuen,School Life,Kotobuki,"Slice of Life, School Life, Comedy, ","179,644",4,179644,Chap 5
34,Love is an Illusion!,Manhwa,Fargo,"Romance, Manhwa, Webtoon, Đam Mỹ, ","179,000",4,179000,To be continue..
35,Trọng Sinh Đô Thị Tu Tiên,Manhua,Đang cập nhật,"Manhua, ","176,942",4,176942,Chapter 477
36,Tối Cường Thăng Cấp,Comedy,Thủ Duyệt,"Mystery, Manhua, Comedy, Supernatural, Webtoon, ","176,379",4,176379,Chapter 187
37,Thủ lĩnh Omega của chúng ta!,Romance,MIJIN / Felicia Huang,"Romance, Comedy, Webtoon, Đam Mỹ, ","175,926",4,175926,Chap 25
38,Hào Môn Thiên Giới Tiền Thê,Manhua,Đang cập nhật,"Romance, Manhua, ","175,307",4,175307,Chapter 384
39,Sweet Home,Webtoon,Đang cập nhật,"Drama, Sci-fi, Slice of Life, Horror, Manhwa, Psychological, Fantasy, Tragedy, Webtoon, ","171,615",4,171615,Chapter 127
40,[Truyện Tranh] Lưu Giữ Kỷ Niệm Của Thời Học Sinh - Mới Nhất,Manhua,Cōng Zhā Zhā,"School Life, Manhua, ","168,700",4,168700,Thông báo
41,Nghịch Chuyển Nhân Sinh: Gặp Phải Tần Tiên Sinh,Romance,Cáp Mạn Văn Hóa,"Romance, Drama, Manhua, ","165,554",4,165554,Chapter 49
42,Nise Koi - Tình Yêu Giả Tạo,Martial Arts,Komi Naoshi,"Mystery, Romance, School Life, Action, Comedy, Martial Arts, ","163,209",4,163209,Nise koi 
43,Thiên giá sủng thê: Tổng tài phu nhân đừng hòng trốn,Manhua,畅读书城,"Drama, Manhua, ","163,069",4,163069,Chap 310: Rải cẩu lương thôi
44,Nữ Vương Đích Thủ Thuật Đao,Action,流人(原著) mini（主笔） Kidarient（出品）,"Cổ Đại, Action, Romance, Xuyên không, Manhua, ","162,776",4,162776,Chap 49.2: Cứ Nghĩ Là Chuộc Tội!
45,Lily Love,Drama,Ratana Satis,"Drama, Slice of Life, Comedy, Soft Yuri, Shoujo-ai, ","161,211",4,161211,Lily love ( trang sally ) chap 34
46,Người Trong Giang Hồ RAW,Action,Ngưu Lão,"Action, Manhua, Martial Arts, Adventure, ","161,140",4,161140,Chapter 2191: Nam Ca đoạt vị 2
49,Chung Cực Đấu La,Adventure,Đường Gia Tam Thiếu,"Action, Mystery, Xuyên Không, Manhua, Adventure, ","160,645",4,160645,Chapter 205
50,Hikaru No Go - Kì thủ cờ vây,Comedy,"Hotta Yumi,Obata Takeshi","School Life, Comedy, ","160,161",4,160161,Hikaru no go chap 189 [End]
51,Wind Breaker,Drama,Jo Yong Seuk,"Action, Drama, Manhwa, Sports, ","159,893",4,159893,Wind Breaker Chapter 90.5
52,KANATA KARA [VÙNG ĐẤT XA XĂM] - Bản Mới Nhất,Manga,HIKAWA Kyouko,"Action, Fantasy, Adventure, Manga, ","158,989",4,158989,Kanata kara – chap 57
53,Ma vương lão công khiếm điều giáo,Drama,Dazui,"Drama, Romance, Manhua, ","158,552",4,158552,Chapter 248
54,Doraemon Bóng Chày,Slice of Life,Fujiko F. Fujio,"Slice of Life, Comedy, Sports, ","158,041",4,158041,Doraemon bóng chày (tt8) chap 139
55,Vương Gia Ba Tuổi Rưỡi Của Tôi,Manhua,Phiên Phiên Động Man Vũ Hán Bộ Lạc,"Cổ Đại, Romance, Xuyên không, Manhua, ","157,043",4,157043,40. Thám Thính.
56,Rai - Võ tướng thiên hạ,Sci-fi,MANABE Jouji,"Action, Romance, Sci-fi, Shounen, ","156,311",4,156311,Rai 
57,Lưỡng bất nghi,Comedy,Đang cập nhật,"Romance, Cổ Đại, Comedy, Manhua, ","155,940",4,155940,Phiên ngoại kết 2
58,Ao Haru Ride,Drama,Sakisaka Io,"Drama, Slice of Life, Romance, School Life, Shoujo, Comedy, ","154,577",4,154577,Ao haru ride chap 49
59,CON NHÀ GIÀU - Bản Full Tiếng Việt,Drama,KAMIO Youko,"Drama, Romance, Comedy, Slice of Life, School Life, ","153,798",4,153798,Chapter 196
60,Girls of The Wilds,Martial Arts,"HUN,ZHENA,JAeHO","Drama, Harem, Shounen, Romance, School Life, Comedy, Martial Arts, ","153,263",4,153263,Girls of the wild's girls of the wild's special event
61,Đưa mami về nhà,Romance,Đang cập nhật,"Romance, Manhua, ","151,951",4,151951,Chapter 320
62,Historys Strongest Disciple Kenichi,Martial Arts,Matsuena Syun,"Action, Comedy, Martial Arts, Adventure, Manga, ","150,155",4,150155,Chapter 583.5
63,Vương Gia ! Không nên a !,Romance,Đang cập nhật,"Romance, Cổ Đại, Manhua, ","149,711",4,149711,Chapter 373
64,Baki Dou,Martial Arts,Itagaki Keisuke,"Action, Shounen, Martial Arts, Sports, ","149,056",4,149056,Baki dou chap 127
65,[Truyện] Ánh Trăng Bí Ẩn - Chap 1- Bản Mới Nhất,Supernatural,Chie Shinohara,"Drama, Romance, Horror, Supernatural, Shoujo, ","148,322",4,148322,Ánh trăng bí ẩn chap 24.3
66,Long phi bất bại,Shounen,"Ryu Ki-Woon,MOON Jung-Hoo","Manhwa, Shounen, Adventure, Historical, Action, Comedy, Martial Arts, ","147,439",4,147439,Long phi bất bại chap 123
67,Thanh gươm diệt quỷ,Manga,Gotouge Koyoharu,"Drama, Shounen, Romance, Fantasy, Historical, Manga, ","147,458",4,147458,Chapter 205
68,Tsubaki-chou Lonely Planet,Shoujo,Yamamori Mika,"Drama, Romance, Shoujo, Comedy, School Life, ","146,508",4,146508,Chapter 75
69,Baki - Son of Ogre,Martial Arts,Itagaki Keisuke,"Action, Martial Arts, Supernatural, Shounen, ","145,934",4,145934,Baki 
70,Hare Kon,Manga,Đang cập nhật,"Romance, Seinen, Comedy, Harem, Manga, ","145,310",4,145310,Chapter 157: Đứa trẻ nổi danh
71,Cô Dâu Thủy Thần - Habaek-Eui Shinbu,Romance,Yoon Mi-kyung,"Drama, Fantasy, Romance, Shoujo, Manhwa, ","144,864",4,144864,Cô dâu thủy thần 
72,Hirunaka no Ryuusei,Romance,Yamamori Mika,"Slice of Life, Romance, School Life, Shoujo, Comedy, Manga, ","143,284",4,143284,Hirunaka no ryuusei – chap 78.10
73,Mage & Demon Queen,Fantasy,Đang cập nhật,"Fantasy, Comedy, ","142,912",4,142912,Chapter 61
74,Song Hùng Kỳ Hiệp,Sci-fi,Hà Chí Văn,"Action, Manhua, Martial Arts, Sci-fi, Historical, ","142,850",4,142850,Chapter 277.1
75,Búp bê báo thù,Romance,Team lạnh lùng,"Romance, Drama, Manhua, ","141,347",4,141347,chap 51 end
76,Nấc Thang Thời Gian ,Drama,Đại Tỷ Team,"Drama, Xuyên không, ","141,289",4,141289,Chap 62
77,The Breaker: New Waves,Manhwa,JEON Geuk - jin,"Action, Adventure, Manhwa, ","141,402",4,141402,Chapter 200.5
78,Bắt Cóc Hoàng Đế Về Hiện Đại,Xuyên Không,夏天岛,"Xuyên Không, Manhua, ","140,557",4,140557,Bắt cóc hoàng đế về hiện đại chap 123
79,Kattobi Itto,Action,Motoki Monma,"Seinen, Slice of Life, Sports, School Life, Action, Martial Arts, ","140,190",4,140190,Kattobi itto chap 156
80,Yuri Na Watashi,Comedy,MOKOYAMA Jin,"Soft Yuri, School Life, Comedy, Gender Bender, ","140,081",4,140081,Yuri na watashi chap 11 
81,Higanjima,Manga,Matsumoto Koji,"Fantasy, Horror, Seinen, Manga, ","139,611",4,139611,Chapter 674: (ss3 – c175)
82,Phong Khởi Thương Lam,Romance,Đang cập nhật,"Romance, Xuyên không, Manhua, Adventure, ","139,230",4,139230,Chapter 431
83,Good Ending,Harem,Sasuga Kei,"Harem, Slice of Life, Shounen, Romance, School Life, Comedy, ","139,234",4,139234,Good ending OneShot Bonus
84,Ta Có Phòng Riêng Thời Tận Thế,Fantasy,Đang cập nhật,"Mystery, Fantasy, Manhua, Adventure, ","139,863",4,139863,Chapter 373
85,Tôi là tiểu thư của gia đình này !,Cổ Đại,可可漫画,"Romance, Cổ Đại, Comedy, Manhwa, ","138,813",4,138813,Chap 103
86,Hôm nay bắt đầu làm nữ thần,School Life,,"Slice of Life, School Life, Harem, Comedy, Manhua, ","138,470",4,138470,Chapter 110
87,Dragon Quest - Dấu ấn rồng thiêng,Action,Sanjo Riku,"Action, Fantasy, Adventure, Shounen, ","138,127",4,138127,Chapter 349
88,Tối Cường Thần Thú Hệ Thống,Xuyên Không,Đang cập nhật,"Mystery, Xuyên Không, Manhua, ","137,830",4,137830,Chapter 246
89,TIỂU ĐẦU BẾP CUNG ĐÌNH - Đọc Truyện Tranh Online,Adventure,Etsushi Ogawa,"Action, Cooking, Adventure, ","136,966",4,136966,Tiểu đầu bếp cung đình chap 20:
90,Nghịch Thiên Chiến Thần,Action,Đang cập nhật,"Action, Mystery, Xuyên Không, Manhua, Adventure, ","136,872",4,136872,Chapter 156
91,Thú Cưng Của Tôi Là Dơi,Supernatural,Jade,"Drama, Romance, School Life, Supernatural, Đam Mỹ, Shounen-ai, Comedy, ","136,507",4,136507,Thú cưng của tôi là dơi chap 58:
92,Ái Thượng Vô Địch Tiếu Hoàng Hậu,Harem,Đang cập nhật,"Romance, Harem, Xuyên Không, Manhua, ","136,506",4,136506,Chapter 159
93,Terra Formars,Horror,"SAGUSA Yu,TACHIBANA Kenichi","Seinen, Sci-fi, Horror, Action, Comedy, Tragedy, ","136,344",4,136344,Chapter 210
94,Coffee & Vanilla,Shoujo,Akegami Takara,"Romance, Shoujo, Comedy, ","138,463",4,138463,Chapter 25.5: Raw
95,Mahouka Koukou no Rettousei - Tsuioku Hen,Mystery,"SATOU Tsutomu,IKAWA Waki","Mystery, Sci-fi, Slice of Life, Shounen, Supernatural, Action, ","135,563",4,135563,Mahouka koukou no rettousei 
96,Kaichou wa Maid-sama!,Shoujo,Fujiwara Hiro,"Romance, School Life, Shoujo, Comedy, ","133,927",4,133927,Kaichou wa maid
97,Gokujou Drops,Romance,Hajime Mikuni,"Soft Yuri, Romance, Shoujo-ai, School Life, ","133,729",4,133729,Gokujou drops vol3 
98,Cao Đẳng Linh Hồn,Manhua,Đang cập nhật,"Action, Manhua, ","133,720",4,133720,Chapter 102.5
99,Vagabond,Adventure,Đang cập nhật,"Action, Martial Arts, Manga, Adventure, ","131,953",4,131953,Chapter 320
100,Tuyển tập truyện ngắn kinh dị của Ito Junji,Manga,Ito Junji,"Horror, Manga, ","131,773",4,131773,Chapter 16.7: 
