,name,category,author,categories_list,view_count,ratting_value,ratting_count,chapter_cout
0,Genjuu No Seiza - Ngôi Sao Bí Ẩn,Shoujo,Akino Matsuri,"Mystery, Horror, Psychological, Fantasy, Shoujo, Supernatural, Comedy, ","78,423",4,78423,Genjuu no seiza 
1,Making AV: A Sneak Peek,Webtoon,Đang cập nhật,"Comedy, Webtoon, ","78,412",4,78412,Chapter 2
2,Ta Và Nam Thần Cởi Áo Ngủ Rồi,Harem,Đang cập nhật,"Drama, Harem, Manhua, Romance, Shoujo, Xuyên Không, ","78,404",4,78404,Chapter 76
3,R.U.N,Sports,Nhóm Dịch : IzManga.Net,"Martial Arts, Shounen, School Life, Adventure, Action, Comedy, Sports, ","78,397",4,78397,Chapter 1
4,Yubikiri,Romance,Ashihara Hinako,"Drama, Romance, Shoujo, Slice of Life, ","78,396",4,78396,Yubikiri Chap 3 [End]
5,"20, 21",One Shot,Yotsuhara Furiko,"School Life, One Shot, Shoujo-ai, ","78,379",4,78379,"20, 21 oneshot"
6,Boku ni Natta Watashi,Comedy,Shimaki Ako,"Drama, Romance, School Life, Shoujo, Gender Bender, Comedy, Manga, ","78,378",4,78378,Boku ni natta watashi chap 016 [End]
7,Why so serious ? ,Drama,. Mị La Thiên .,"Drama, Romance, Xuyên không, ","78,378",4,78378,. [Chapter 1]:Đối tượng công lược xuất hiện
8,Pinky Promise with My Boyfriend The King,Doujinshi,,"Romance, Shounen-ai, Comedy, Doujinshi, ","78,371",4,78371,Pinky promise with my boyfriend the king 
9,Cô Gái Yêu Ramen,School Life,Đang cập nhật,"Slice of Life, School Life, Comedy, Manga, ","78,369",4,78369,Chapter 12
10,Hanayomesama Wa 16-Sai,Romance,Yuuhi Ryuu,"Romance, Shoujo, ","78,367",4,78367,Chapter 2
11,SnK Short Doujinshi,Shoujo Ai,Đang cập nhật,"Action, Comedy, Shoujo Ai, Doujinshi, Shounen, ","78,365",4,78365,Chapter 41
12,Oukoku no Ko,Drama,Đang cập nhật,"Drama, Mystery, Josei, Gender Bender, Historical, ","78,365",4,78365,Chapter 1.1
13,"Boss,đừng cắn em!",Romance,Hải Băng,"Romance, Manhua, ","78,355",4,78355,Thông báo 
14,Cô bạn thân của Mikami,School Life,Summer Rain,"Romance, School Life, One Shot, Manga, ","78,353",4,78353,Oneshot
15,Phantom Paradise,Mystery,Đang cập nhật,"Mystery, Fantasy, Manhua, Webtoon, Manhwa, ","78,352",4,78352,Chapter 0
16,Chronological Marvel Civil War,Adventure,Marvel,"Action, Comic, Adventure, ","78,342",4,78342,Chapter 3
17,Cẩm nang nuôi dưỡng chồng ,Manhua,Cải,"Drama, Manhua, ","78,336",4,78336,chap 30
18,Twins..!,Webtoon,RED,"VnComic, Webtoon, Live action, ","78,334",4,78334,Twins..! twins chương 2 #40
19,Batman v Superman: The Dawn of Justice,Supernatural,Đang cập nhật,"Action, Comic, Supernatural, Adventure, ","78,333",4,78333,Chapter 5
20,Những Mảnh đời Tan Vỡ,Comic,Park Tae Joon - Jun SunWook,"Seinen, Manhwa, Drama, Supernatural, Action, Comic, Comedy, ","78,333",4,78333,Chapter 2
21,Goth,Manga,Ostu - Ichi - Kenji Ooiwa,"Horror, Manga, ","78,332",4,78332,Chapter 5
22,Phù thuỷ và những đứa trẻ__[ ONESHOT ],One Shot,?♡⃛๑๛彼?岸๛๑♡⃛?,"One Shot, ","78,331",4,78331,Chap 01
23,Shh!,Shoujo,KIM Yong Seon,"Drama, Romance, Shoujo, Manhwa, ","78,330",4,78330,Chapter 63
24,Ikasama Memory,Drama,Natsume Isaku,"Drama, Comedy, Slice of Life, Romance, Shounen-ai, Soft Yaoi, ","78,329",4,78329,Ikasama memory extra 2
25,Tổng hợp những truyện tranh ngắn,Manga,Cúchoabénhỏ,"Manga, ","78,327",4,78327,Chap 3 : Lỡ yêu bạn thân
26,Tabetemo Oishiku Arimasen,Comedy,Yamada Nichoume,"Romance, School Life, Comedy, Manga, Shounen-ai, ","78,325",4,78325,Chapter 5
27,Magical Girl Lyrical Nanoha ViVid Life Advance,Yuri,Đang cập nhật,"Comedy, Yuri, ","78,321",4,78321,Chapter 2: The Cursed Rabbit's Mystery
28,Thần Thoại Chiến Tuyến,Fantasy,Đang cập nhật,"Action, Fantasy, Supernatural, Shounen, ","78,315",4,78315,Chapter 16: Bonus
29,Tensei Saki Ga Shoujo Manga No Shiro Buta Reijou Datta,Comedy,REI ,"Romance, Comedy, ","78,300",4,78300,THÔNG BÁO
30,Mimi wo sumaseba - Lời thì thầm từ trái tim,Manga,Hiiragi Aoi,"Romance, School Life, Shoujo, Manga, ","78,299",4,78299,Chapter 7
31,Touhou - Seichou Hoshiutsuro,Doujinshi,Yohane,"Comedy, Doujinshi, Shoujo-ai, ","78,296",4,78296,Touhou 
32,Kẻ Thù Không Đội Trời Chung ,Manga,My My Trần,"Xuyên không, Manga, ","78,290",4,78290,Chapter 2 Nhiệm vụ
33,Monochrome Factor - Đại Chiến Bóng Tối,Anime,Sorano Kairi,"Fantasy, School Life, Supernatural, Anime, Action, Comedy, ","78,288",4,78288,Chapter 64
34,Hiyokoi,Comedy,Yukimaru Moe,"Romance, School Life, Shoujo, Comedy, ","78,285",4,78285,Hiyokoi Chap 32
35,Aoki Fuchi no Hako,Comedy,ADUMI Inori,"Comedy, Supernatural, ","78,284",4,78284,Aoki fuchi no hako chap 4
36,THE DARKNESS ( Vol 1),Adventure,"Garth Ennis,Marc Silvestri","Action, Fantasy, Comic, Adventure, ","78,283",4,78283,The darkness ( vol 1) chap 2
37,Shinobi Life,Romance,Konami Shouko,"Drama, Romance, Fantasy, Shoujo, Supernatural, Historical, Action, ","78,282",4,78282,Shinobi Life chap 9
38,Sói Bạc,Shoujo,hibiki wataru,"Romance, One Shot, Shoujo, Supernatural, Historical, ","78,278",4,78278,Sói Bạc OneShot
39,Nejimaki Mano-san,Psychological,Saitou Ken,"Romance, One Shot, Psychological, School Life, Shoujo, Comedy, Drama, ","78,278",4,78278,Nejimaki Mano
40,Tình yêu là màu hoa anh thảo,Romance,Hàm Húc,"Romance, School Life, Manhua, ","78,277",4,78277,Ngoại truyện 3 
41,Erementar Gerad,Sci-fi,Azuma Mayumi,"Action, Manga, Sci-fi, Adventure, ","78,273",4,78273,Chapter 41.5
42,Buông tao ra thằng khốn!,Romance,Tiểu tịch kì,"Romance, School Life, VnComic, ","78,269",4,78269,Thông báo nhỏ
43,Realist Maou Niyoru Seiiki Naki Isekai Kaikaku,Action,Đang cập nhật,"Action, Drama, Fantasy, ","78,255",4,78255,Chapter 16
44,Butterfly - paru paro,Gender Bender,Aikawa Yu,"Gender Bender, Seinen, Supernatural, ","78,254",4,78254,Chapter 29
45,3 Street Of Mysteries,Supernatural,Đang cập nhật,"Horror, Supernatural, ","78,247",4,78247,Chapter 18
46,Vạn Thần Tổ Sư,Manhua,Đang cập nhật,"Fantasy, Manhua, ","78,241",4,78241,Chapter 37
47,Kanojo wa Uso wo Aishisugiteru,Romance,Aoki Kotomi,"Drama, Romance, Shoujo, Comedy, School Life, ","78,240",4,78240,Kanojo wa uso wo aishisugiteru chap 9:
48,Chỗ Đó Của Boss Size XL!?,Josei,Kani Itoh,"Josei, Manga, ","78,228",4,78228,Chapter 9
49,Cẩm Ngọc Như Khuynh,Romance,Đông Cô Q_Q,"Cổ Đại, Drama, Romance, Manhua, ","78,227",4,78227,Chap 2 : Đại náo ôn dịch
50,"Đừng khóc em, anh ở đây rồi!",Josei,hanhie,"Romance, Shoujo, Josei, Manga, ","78,227",4,78227,Chap 2.2: Đi chơi hay ở nhà
51,Mimoza de sarada,Manga,Morio Masami,"One Shot, Manga, ","78,223",4,78223,Chapter 0
52,Tiểu Tiên Lại Thâu Tập,Romance,Đang cập nhật,"Romance, Harem, Manhua, Shoujo, ","78,222",4,78222,Chapter 5
53,Lọ Lem Kén Rể,Shoujo,Hwang Mi Ri,"Romance, School Life, Shoujo, Comedy, Manhwa, ","78,216",4,78216,Lọ lem kén rể chap 60:
54,Deep,Mystery,"Towoo,Taeheon kim","Mystery, Webtoon, Horror, Shounen, Supernatural, Adventure, ","78,216",4,78216,Deep chapter 28
55,Thiếu Lâm Đệ 8 Đồng Nhân - Ngoại Truyện,Shounen,"Khưu Phúc Long,Cửu Bả Đao","Action, Manhua, Martial Arts, Supernatural, Shounen, ","60,923",4,60923,Thiếu lâm đệ 8 đồng nhân 
56,Chuyện tình của tôi!!,Comedy,Kawahara Kazune - Aruko,"Slice of Life, Romance, School Life, Shoujo, Action, Comedy, ","59,543",4,59543,Chapter 22
57,Stukimono,One Shot,Kamaboko Red,"Gender Bender, Comedy, One Shot, Supernatural, Shounen-ai, ","78,196",4,78196,Stukimono OneShot
