,name,category,author,categories_list,view_count,ratting_value,ratting_count,chapter_cout
0,Cậu Bé Hoang Dã,School Life,Motomi Kyousuke,"Romance, School Life, Shoujo, Comedy, ","40,437",4,40437,Chapter 7
1,Psycho Love Contract,Webtoon,Đang cập nhật,"Romance, School Life, Comedy, Webtoon, Manhwa, ","40,432",4,40432,Chapter 4
2,KHR Doujinshi - Mimoza,Shoujo Ai,Pepushi,"Shoujo Ai, Shounen, ","40,420",4,40420,Chapter 1
3,Chiến binh Siêu Âm Thanh [Super sonic Girl!],Adventure,Sandra Diaz,"Action, Adventure, Webtoon, ","40,418",4,40418,Chiến binh siêu âm thanh chap 1: âm thanh và ánh sáng
4,Bữa tối của hoàng tử,Manhwa,Han Yu Rang,"Drama, Romance, Shoujo, Comedy, Manhwa, ","40,415",4,40415,Chapter 8
5,Ojou-sama wa Otoko no Ko,Comic,Kyuki,"Slice of Life, Comic, Comedy, Gender Bender, ","40,415",4,40415,Chapter 2
6,Người đại diện linh hồn,Manhua,Comicool,"Mystery, Manhua, Shounen, ","40,417",4,40417,Chap 42
7,Nanboku Seitokai Sensou,Shounen,FUYUNO Haruaki,"Action, School Life, Comedy, One Shot, Shounen, ","40,411",4,40411,Nanboku Seitokai Sensou OneShot
8,Mặt Nạ Tà Ác,Sci-fi,Đang cập nhật,"Sci-fi, Drama, School Life, Supernatural, Action, Comedy, ","40,407",4,40407,Chapter 1: Nghi Ngờ Là Tội Ác
9,Tokyo Kareshi,Slice of Life,Makita Nao,"Romance, School Life, Comedy, Slice of Life, ","40,392",4,40392,Tokyo kareshi chap 4
10,Đêm Ảo Mộng Cực Lạc,Đam Mỹ,Tất Tử,"Mystery, Romance, Shoujo, Đam Mỹ, ","40,390",4,40390,Chapter 19
11,Tổng Tài Muốn Được Yên Tĩnh,Drama,Ma Bắc Minh,"Drama, Romance, Comedy, ","40,435",4,40435,Phiên ngoại 3 : Vị thần biển cả và chú sứa
12,Shingeki no Kyojin - Birth of Levi,Adventure,Họa sĩ,"Seinen, Drama, Supernatural, Adventure, Action, Tragedy, ","40,418",4,40418,Shingeki no kyojin 
13,Ore to Atashi no Kareshi-sama,Shoujo,Kajiyama Mika,"Romance, School Life, Shoujo, Gender Bender, Supernatural, Comedy, ","40,363",4,40363,Ore to atashi no kareshi
14,Himitsu no Himegimi Uwasa no Ouji,Shoujo,Kauta Mato,"Romance, Shoujo, Gender Bender, Manga, Historical, ","40,359",4,40359,Chapter 9
15,Bá quyền trung thành tìm kiếm người yêu,Comedy,Đang cập nhật,"Romance, Shoujo, Comedy, Manhua, ","40,354",4,40354,Chapter 19
16,Utaenai Fairy,Shoujo,Natsume Mikan,"Shoujo, One Shot, ","40,353",4,40353,Utaenai Fairy OneShot
17,Freezing Zero,Adventure,KIM Kwang Hyun - IM Dal Young - JEONG Soo Cheol,"Action, Manga, Sci-fi, Adventure, ","40,352",4,40352,Chapter 12
18,[Kiếm Võng 3] Trường Ca Đang Tiếu,Manhua,Đào Hoa Lựu Hỏa,"Romance, Comic, Comedy, Manhua, Historical, ","40,349",4,40349,[kiếm võng 3] trường ca đang tiếu chap 5 
19,Câu chuyện về chú thỏ Toyoyo và cà rốt trong rừng Yamyam,Fantasy,Kim Min-jae,"Slice of Life, Fantasy, Comic, Webtoon, Manhwa, ","40,345",4,40345,chương 1
20,Mikansei Na Drops,School Life,,"Slice of Life, School Life, Shounen-ai, ","40,342",4,40342,Mikansei na drops chapter extra
21,Hỗn Độn Kim Ô,Manhua,Đang cập nhật,"Action, Manhua, Adventure, ","40,336",4,40336,Chapter 92
22,Ryuunosuke-Kun Wa Yasashikunai,Shoujo,Asano Aya,"Romance, School Life, Shoujo, ","40,333",4,40333,Ryuunosuke
23,Nui!,Fantasy,Đang cập nhật,"Romance, Fantasy, Shoujo, Comedy, Adventure, ","40,325",4,40325,Chapter 1: Hiệp sĩ Purple
24,Saigo No Negai,Drama,Watsuchi Koyuma,"Drama, One Shot, Shoujo, Supernatural, Tragedy, ","40,323",4,40323,Chapter 1
