,name,category,author,categories_list,view_count,ratting_value,ratting_count,chapter_cout
41,PHÍA SAU BỨC TƯỜNG,Fantasy,tokioznguyen,"Action, Fantasy, Horror, VnComic, Truyện scan, ","59,412",4,59412,Phía sau bức tường phía sau bức tường chapter2a
42,Fate/type Redline - Truyền Kỳ về Chén Thánh Đế Đô,Action,HIRANO Ryouji,"Action, ","59,413",4,59413,Chapter 9.2
43,Cuộc sống về đêm của người vợ 18 tuổi,Drama,Đang cập nhật,"Drama, Romance, Shoujo, Manhua, ","59,398",4,59398,Chapter 15
44,Magic Knight Rayearth,Comedy,CLAMP,"Fantasy, Romance, Mecha, Adventure, Action, Comedy, ","59,397",4,59397,Magic knight rayearth chap 3
45,[Truyện Tranh] Hoán Kiểm Trọng Sinh - Bản Tiếng Việt Mới Nhất ,Harem,Đang cập nhật,"Harem, Manhwa, ","59,394",4,59394,Chapter 11
46,Trọng sinh trở lại để trả thù(DROP),Harem,Team lạnh lùng,"Drama, Harem, Xuyên không, Manhua, ","59,398",4,59398,TRUYỆN CỦA NHÓM
47,Senpai Kara Me ga Hanasenai To Aru Kaishain no Nichijou,Comedy,Đang cập nhật,"Slice of Life, Comedy, ","59,383",4,59383,Chapter 8
48,Mourning Bride,Manga,MORIYAMA Daisuke,"Action, Drama, Manga, Shounen, ","59,376",4,59376,Chapter 2
49,Học viện Liên Quân,VnComic,Ốcchan,"School Life, Comedy, VnComic, ","59,384",4,59384,Truyện nhỏ liên quân #1 : biến thái
50,Kodoku no Gourmet,Seinen,"Jiro Taniguchi, - ,Masayuki Kusumi","Slice of Life, Seinen, Josei, ","59,367",4,59367,"Chapter 2: Sushi băng chuyền tại Musashina Kichijoji, Tokyo."
51,Công chúa xứ hoa P1-P4,Tragedy,Han Seung-won,"Drama, Manhwa, Romance, Fantasy, Shoujo, Historical, Comedy, Tragedy, ","59,400",4,59400,Chapter 65
52,ware wa ken-ou,Seinen,Shibamura Yuuri,"Action, School Life, Seinen, ","85,444",4,85444,Ware wa ken
53,Yên la kết,Historical,Đang cập nhật,"Fantasy, Manhua, Historical, ","59,357",4,59357,Chapter 5
54,Soushokukei Ism,Comedy,Watanabe Nana,"Drama, School Life, Shoujo, Comedy, Manga, ","59,357",4,59357,Chapter 5
55,Kimi e no Ai ga Tomannai!,Comedy,SANO AIRI,"Romance, Shoujo, Comedy, ","59,279",4,59279,Chapter 1: One shot
56,Ngã Gia Bạo Quân Yêu Phản Thiên,Shoujo,Amber Mạn Nghiên Xã,"Drama, Romance, Shoujo, Manhua, ","59,278",4,59278,Chapter 21
57,Joukamachi no Dandelion,Seinen,Kasuga - Ayumu,"Action, Slice of Life, Seinen, Comedy, ","59,270",4,59270,Chapter 2
58,Yêu Thần Đại Nhân Của Ta,Cổ Đại,Minh Nguyệt Lầu ,"Cổ Đại, Fantasy, Manhua, Manga, ","59,269",4,59269,Chap 2
59,Kagijin - Khóa nhân,Sci-fi,Tanaka Yasuki,"Action, Manga, Sci-fi, Adventure, ","59,266",4,59266,Chapter 11
60,Trọng Sinh Siêu Sao- Lăng Thiếu Sủng Nghiện,Xuyên không,Cập nhật sau,"Drama, Romance, Xuyên không, Manhua, ","59,258",4,59258,Chap 15 Đi học
61,Kisei Kanojo Sana - Parasistence Sana,Shounen,"Soumatou,SUNAGI Izumo","Romance, Seinen, Comedy, Harem, Shounen, ","59,255",4,59255,Kisei kanojo sana 
62,Thiết Huyết Nam Nhi,Seinen,Trần Ngọc Mai,"Seinen, Sci-fi, Supernatural, Adventure, Action, Martial Arts, ","59,255",4,59255,Thiết huyết nam nhi chapter 79
63,Donuts Tsuushin,School Life,Takahashi Mako,"School Life, Shoujo Ai, Shounen, ","59,253",4,59253,Chapter 6
64,Holy Talker,Fantasy,Ayamine Rando,"Action, Fantasy, Shounen, ","59,251",4,59251,Holy talker chap 1b
65,Satou-kun no Juunan Seikatsu re-up,Action,Kaneshiki Swiss,"Action, Fantasy, Horror, Adventure, ","59,249",4,59249,Chapter 1
66,Senyuu,Fantasy,Haruhara Robinson,"Action, Fantasy, Comedy, Adventure, Shounen, ","59,250",4,59250,Chapter 116
67,Vào Ngày Tận Thế Nhặt Được Hệ Thống,Adventure,Đang cập nhật,"Action, Fantasy, Manhua, Adventure, ","59,247",4,59247,Chapter 0
68,Niềm Hy Vọng,Romance,Đang cập nhật,"Romance, ","59,242",4,59242,Chapter 8
69,Chú Bé Rồng - Ryuuroden,Xuyên không,Yamahara Yoshito,"Manhua, Shounen, Fantasy, Adventure, Historical, Action, Xuyên không, ","59,290",4,59290,Chapter 304: Raw
70,[ Doujinshi Dc ] Bướm Đêm,Romance,Đang cập nhật,"Romance, Comedy, ","59,232",4,59232,Chapter 3
71,Lord DIO and Mr.World,One Shot,Đang cập nhật,"Comedy, One Shot, ","59,230",4,59230,Chapter 1: One shot
72,Ore No Itoshi No Neet-kun,Romance,Đang cập nhật,"Romance, ","59,226",4,59226,Chapter 6: 
73,One shot Yaoi,Doujinshi,Di cute,"Doujinshi, One Shot, Đam Mỹ, Yaoi, ","59,225",4,59225,:))
