,name,category,author,categories_list,view_count,ratting_value,ratting_count,chapter_cout
0,"Yuki-chan no Baka, Daisuki",One Shot,TAMURA Kotoyu,"Romance, Shoujo, Comedy, One Shot, ","21,189",4,21189,Chapter 1
1,Ma Phi Giá Đáo,Mystery,Đang cập nhật,"Mystery, Romance, Xuyên không, Manhua, ","21,189",4,21189,Chapter 197.6
2,"Zennin Ossan, Umarekawattara SSS Rank Jinsei ga Kakutei Shita",Fantasy,Nazuna Miki - Shiro Yuzuma,"Shounen, Romance, Fantasy, Supernatural, Adventure, Action, Comedy, ","21,189",4,21189,Chapter 3
3,Chinh Phục Playboy! Hãy Cho Tôi Xem Nơi “Hư Hỏng” Của Sensei Nào?,Manga,Kurosaki Naoki,"Josei, Slice of Life, Drama, School Life, Shoujo, Comedy, Manga, ","21,185",4,21185,Chapter 1
4,Xương Của Quỷ Dữ,Horror,Hắc Mục Sư,"Mystery, Horror, Manhua, ","21,182",4,21182,Chapter 1
5,4ever,School Life,dream23,"Drama, School Life, Comedy, VnComic, ","21,178",4,21178,Chapter 8
6,Ngân Chi Thủ Mộ Nhân Hạ Cơ thiên,Comedy,Đang cập nhật,"Fantasy, Manhua, Comedy, Martial Arts, Historical, ","75,950",4,75950,Ngư tổ thần châu chap 30
7,Itsuka No Seishun,School Life,Takagi Shigeyoshi,"Romance, School Life, Shoujo, Comedy, Slice of Life, ","21,167",4,21167,Itsuka no seishun chap 1.1
8,Tsuki ga Kirei Desu ne,Romance,Itou Hachi,"Romance, Comedy, ","24,413",4,24413,Tsuki ga kirei desu ne chap 1.a
9,Cảnh sát và yakuza,Manga,Đang cập nhật,"Shounen-ai, Manga, ","21,154",4,21154,Chapter 11.5
10,Bokura No Negai,Shoujo Ai,Yamamoto Kotetsuko,"Drama, Slice of Life, Shoujo Ai, Tragedy, Shounen, ","21,151",4,21151,Chapter 10
11,Kisa và Saki và sợi chỉ đỏ,One Shot,Đang cập nhật,"Fantasy, Comedy, One Shot, Shoujo-ai, ","21,147",4,21147,Chapter 1: One shot
12,Watashi no Shiawase na Kekkon,Historical,Agoki Akumi,"Drama, Romance, Shoujo, Historical, ","21,136",4,21136,Chapter 15
13,Isekai Yakkyoku [LH],Xuyên không,AyanoTokarin,"Fantasy, Xuyên không, Magic, Adventure, Supernatural, ","21,117",4,21117,Chapter 23
14,THIỀN THUYẾT,Manhua,Đang cập nhật,"Manhua, ","21,112",4,21112,Chapter 5
15,Step Siblings,Romance,Yamada Nokoshi,"Drama, Romance, Shoujo, School Life, ","21,102",4,21102,Step siblings chap 1
16,Thạch Hắc Long Truyện,Action,Hoàng Ngọc Lang,"Action, Manhua, Martial Arts, ","21,101",4,21101,Chapter 93: Đại Kết Cục
17,Lãnh Địa Của Totem,Shoujo,Đang cập nhật,"Romance, Shoujo, Manhua, ","21,096",4,21096,Chapter 3
18,TOUHOU - One Shots,One Shot,"ヘラダ ミツル,Mitsuru Herada","Comedy, One Shot, Doujinshi, ","21,088",4,21088,Touhou 
19,Seishun Location,Shoujo,Đang cập nhật,"Romance, School Life, Shoujo, ","21,083",4,21083,Chapter 8
20,Atsui Hibi,Drama,MIDORIKAWA Yuki,"Drama, Mystery, Romance, Shoujo, School Life, ","21,080",4,21080,Atsui hibi vol 1 chap 1
21,Sayonara Boku no Princess,Manga,Đang cập nhật,"Manga, ","21,077",4,21077,Chapter 2
23,Inviting Darkness,Manga,Matsumoio Yoko,"Horror, Manga, Sci-fi, ","21,069",4,21069,Chapter 2: Chyến xe bus cuối c ...
24,Im Fine,Comic,아미마_Amima,"Drama, Slice of Life, Comic, ","21,065",4,21065,Chap1:Khu Rừng
25,Shuumatsu no Harem Fantasia,Harem,Đang cập nhật,"Action, Fantasy, Harem, Shounen, ","21,064",4,21064,Chapter 1
26,Thuyết Anh Hùng Thùy Thị Anh Hùng,Adventure,Ôn Thụy An - Diệp Minh Phát,"Action, Manhua, Adventure, ","21,059",4,21059,Chapter 16: Chân Anh Hùng (hết)
27,Idol wa xxxx Nante Shimasen!,Drama,Yuzuki Ryouta,"Romance, Slice of Life, Seinen, Comedy, Drama, ","21,055",4,21055,Idol wa xxxx nante shimasen! chap 7
28,Lấp lánh tình yêu kẹo bạc hà,Romance,Đồng Tiêu Nhóm,"Romance, Fantasy, Manhua, ","21,054",4,21054,Chương 92
29,Oshi no Ko,Romance,YOKOYARI Mengo - Akasaka Aka,"Psychological, Seinen, Slice of Life, Romance, Drama, Manga, ","21,044",4,21044,Chapter 31: Chương trình hẹn hò thực tế
30,Lữ Hân và Phi Lục,Comedy,Peyo,"Comedy, Adventure, ","21,041",4,21041,Chapter 1: Quái Vật Trong Rừng Đá Táng
31,Ru~mu! Room no 1301,Shounen,Arai Teru Sacchi,"Romance, School Life, Harem, Comedy, Shounen, ","21,035",4,21035,Ru~mu! room no 1301 chap 4
32,Soukyuu no Ariadne,Mecha,Yagi Norihiro,"Mystery, Drama, Fantasy, Shounen, Romance, Mecha, Adventure, Action, Comedy, ","21,035",4,21035,Chapter 8
33,Aruosumente,Sci-fi,Aki,"Action, Adventure, Sci-fi, Manga, ","21,028",4,21028,Chapter 35
34,Hôm nay ta cũng muốn trêu chọc nàng,Comedy,Đang cập nhật,"Romance, Comedy, Manhua, ","21,028",4,21028,Chapter 82
35,Mabuta No Shunjou (Sự Quyến Rũ Của Đôi Mắt),Comedy,Takami Jiro,"Slice of Life, Comedy, Soft Yaoi, ","21,014",4,21014,Mabuta No Shunjou (Sự Quyến Rũ Của Đôi Mắt) Chap 6
36,Trò Chơi Trộm Cắp Trái Tim,Drama,Đang cập nhật,"Drama, Manhua, Webtoon, ","21,010",4,21010,Chapter 0
37,Thoát Bắc Giả,Adventure,Trịnh Kiện Hoà,"Manhua, Adventure, ","21,009",4,21009,Chapter 3: Phi Bôn
38,Little Witchs Diary,Adventure,Yi Huan,"Manhua, Romance, Fantasy, Shoujo, Adventure, Comedy, ","21,006",4,21006,Little witch's diary little witch's diary chap 9 [End]
39,Nồi Vuông Úp Vung Tròn,Shounen-ai,,"Shounen-ai, ","21,005",4,21005,Nồi vuông úp vung tròn chap 2
40,Samu gari na hito,Shoujo-ai,Mimoto,"Romance, Soft Yuri, One Shot, Shoujo-ai, ","21,003",4,21003,Samu gari na hito OneShot
41,GOD EATER - THE SUMMER WARS,Shounen,Okiura,"Shounen, ","20,998",4,20998,God eater 
42,Infinite Stratos Doujinshi- My Older Sister cant be this overprotective,One Shot,Đang cập nhật,"One Shot, ","20,998",4,20998,Chapter 1: One shot
43,Truyền Thuyết Bí Ẩn,Shoujo,,"Truyện scan, Horror, Shoujo, ","20,996",4,20996,Truyền thuyết bí ẩn chap 8
44,The Miyama-Uguisu Mansion Incident,Action,Katou Kazue,"Action, Fantasy, One Shot, Supernatural, Shounen, ","20,996",4,20996,One Shot
45,Meiyaku no Leviathan,Magic,Tatetsu Teto,"Harem, Magic, Seinen, Romance, Fantasy, Action, Comedy, ","20,994",4,20994,Meiyaku no leviathan chap 14: cánh cung trên bầu trời phương bắc [end]
46,5 cm/s,Romance,Đang cập nhật,"Romance, School Life, Manga, ","20,992",4,20992,Chapter 1
47,Nakamura Koedo to Daizu Keisuke wa Umaku Ikanai,Romance,TAKASE Masaya,"Romance, School Life, Comedy, Slice of Life, Shounen, ","20,991",4,20991,Chapter 0
48,Bố tôi là nữ hoàng của giới Vtuber,Slice of Life,Đang cập nhật,"Slice of Life, Seinen, Comedy, Manga, ","20,980",4,20980,Chapter 5.6
49,"Rơi vào tình yêu của em, thanh mai trúc mã!!",Manga,Kusa_haru,"Comic, Manga, ","20,979",4,20979,Giới thiệu
50,Cross x Regalia,Martial Arts,"Sanda Makoto,NARIIE Shinichirou","Shounen, Romance, Fantasy, Supernatural, Action, Martial Arts, ","20,970",4,20970,Cross x regalia chap 7
51,Thiên Kim Bất Hoán,Manhua,Đại Thần Hỗ Ngu,"Cổ Đại, Romance, Manhua, ","88,842",4,88842,Chap 2
52,Thiên Chi Tĩnh,Mystery,,"Mystery, Fantasy, Horror, Manhua, Supernatural, ","20,959",4,20959,Thiên chi tĩnh – chap 14
53,Shini Itaru Yamai,Romance,"Seguchi Takahiro,Asada Hikari","Drama, Seinen, Slice of Life, Romance, Psychological, Tragedy, ","20,956",4,20956,Shini itaru yamai chap 19
54,Pacific Rim: Aftermath - Hậu Chiến,Action,Legendary Comics,"Action, Comic, ","20,956",4,20956,Chapter 1.2: Hậu chiến
55,Mush (Họa Sĩ Thiên Tài),Drama,Đang cập nhật,"Drama, Comedy, Shounen, ","20,950",4,20950,Chapter 9: END
56,Thiên Giới Ôn Nhu Trốn Không Khỏi,Shoujo,Đang cập nhật,"Shoujo, Manhua, ","20,948",4,20948,Chapter 1
57,Vong Xuyên Liên Y,Manhua,Nha Sơ,"Manhua, ","20,946",4,20946,Chapter 5
58,Amakusa 1637,Supernatural,Michiyo Akaishi,"Drama, Josei, Romance, Fantasy, Shoujo, Gender Bender, Adventure, Historical, Action, Supernatural, ","20,944",4,20944,Amakusa 1637 chap 19
59,Shigatsu No Hina,School Life,坂本キヨシ,"Romance, School Life, Shoujo, One Shot, ","20,941",4,20941,Chapter 1: One shot
60,Stigma,,Đang cập nhật,", ","20,937",4,20937,Chapter 10
61,Phố Ngân Hà,School Life,Yuki Fujimoto,"Romance, School Life, Shoujo, Comedy, Slice of Life, ","20,934",4,20934,Phố ngân hà chương 13 [End]
62,Pet wa Binyanshi,School Life,Miyake Madoka,"Romance, School Life, Shoujo, One Shot, ","20,924",4,20924,Pet wa binyanshi oneshot
63,Trường Ca Hành,Tragedy,Xia Da,"Manhua, Drama, Gender Bender, Adventure, Historical, Action, Tragedy, ","20,919",4,20919,Chapter 52
64,Elite-sama Koi Shiyou,Drama,Shiumi Saki,"Drama, Romance, Shoujo, Comedy, School Life, ","20,917",4,20917,Elite
65,platinum en,Shoujo,Đang cập nhật,"Fantasy, Shoujo, School Life, ","20,909",4,20909,Chapter 0
66,Number Call,Slice of Life,Furuya Nagisa,"Slice of Life, School Life, Shounen-ai, ","20,905",4,20905,Number call extra
67,Khát Vọng Trỗi Dậy,Supernatural,Đang cập nhật,"Action, Fantasy, Supernatural, Webtoon, ","20,904",4,20904,Chapter 47: 
68,Smoky B.B.,Sports,"Komiyama Kenta,Kawada Yuuya","Comedy, Shounen, Sports, ","20,896",4,20896,Smoky b.b. chap 8
69,Naruto Doujinshi - Neko Tama,Shounen,Amemiya Kazuyuki,"Shoujo Ai, Shounen, ","20,895",4,20895,Chapter 1
70,Giết người trong giấc mơ,Supernatural,Masuko Yuu,"Mystery, Drama, Horror, Shounen, Psychological, Supernatural, Action, Manga, ","20,892",4,20892,Chapter 34: 
71,Netsuzou Trap,,Kodama Naoko,", ","20,891",4,20891,Chapter 27: After Story
72,Tấm Cám Ngày Nay,One Shot,Phạm Duy Quang,"Comedy, One Shot, ","20,882",4,20882,Tấm cám ngày nay one shot
73,Thanh Đế Truyện,Adventure,Đang cập nhật,"Action, Xuyên Không, Manhua, Adventure, ","20,876",4,20876,Chapter 72
74,Dendrobates,Seinen,ISHIWATA Youji,"Action, Seinen, ","20,868",4,20868,Dendrobates chapter 30
75,Cô vợ ảnh hậu đừng hòng chạy,Manhua,DAZUI,"Romance, Comedy, Manhua, ","20,864",4,20864,Chương 45
76,Nhật Ký Trọng Sinh,Drama,Ly Thanh,"Drama, Romance, ","20,853",4,20853,Thông báo
77,Chắp Cánh Ước Mơ,Romance,Yabuuchi Yuu,"Drama, Harem, Romance, School Life, Shoujo, Gender Bender, ","20,839",4,20839,Ore ga ojou
78,Nanas Everyday Life,Drama,Unknown,"Drama, Comedy, ","20,838",4,20838,Nana's everyday life chap 6
79,Đôi mắt từ trái tim,Manhua,Lola Fingers,"Manhua, ","20,836",4,20836,Chapter 18
80,Kataribe no Risuto tiếp theo,Comedy,Fujiya Izuco,"Comedy, Adventure, Shounen, ","20,829",4,20829,Chapter 30
81,Monokurorabazu,Romance,Mio Hibiki,"Drama, Romance, Webtoon, School Life, ","20,823",4,20823,Chapter 22
82,Giang thiếu muốn hay không gả tới đây,Drama,Dino đặng,"Drama, Shoujo, Manhua, Manga, ","20,821",4,20821,Chap 11
83,Công Ty Siêu Nhân,Manga,Đang cập nhật,"Manga, ","20,819",4,20819,Chapter 12
84,Cuộc sống tươi đẹp tại Tokyo,Drama,ASANO INIO,"Psychological, Slice of Life, Seinen, Drama, Manga, ","20,817",4,20817,Chapter 9
85,Gang King-Băng Đảng Học Đường,Seinen,Yanauchi Daiju,"Action, School Life, Seinen, Comedy, ","20,814",4,20814,Gang king
86, May I ask for one final thing?,Romance,Tác giả: Nana Otori Họa sĩ: Hoonokisora,"Action, Drama, Shoujo, Romance, ","20,810",4,20810,"chap  1.5:""Công chúa chó"""
87,Manh thê siêu đại bài ,Romance,Dâu quý sờ tộc,"Romance, Manhua, ","20,807",4,20807,Chap 2
88,Vũ Yên Sa,Manhua,,"Drama, Romance, Comedy, Manhua, Historical, ","20,804",4,20804,Vũ yên sa – chap 2
89,Chàng trai Thứ phi phần 1,Xuyên không,Phạm Sarang,"Xuyên không, Đam Mỹ, ","20,803",4,20803,MÓN QUÀ NHỎ
90,Chim Miền Nam và Ngỗng Phương Bắc,Manhua,Candy,"Manhua, ","20,782",4,20782,Chap 4
91,Hakui no Ou-sama,Slice of Life,Đang cập nhật,"Slice of Life, Comedy, Sci-fi, Shounen, ","20,781",4,20781,Chapter 14: Vua và vì sao lạc lối 16/01/2019
92,Nhẫn tâm là cách sống,School Life,Bạch SaLa,"School Life, Harem, Comedy, Tạp chí truyện tranh, ","20,780",4,20780,Lỗi
93,Gacha Gacha - Capsule,Romance,Hiroyuki Tamakoshi,"Romance, Fantasy, Harem, Comedy, Shounen, ","20,775",4,20775,Gacha gacha 
94,Shogi Senpai,Sports,Đang cập nhật,"Romance, School Life, Comedy, Sports, ","20,768",4,20768,Chapter 13
95,Toraware No Minoue,Drama,Hino Matsuri,"Drama, Fantasy, Romance, Comedy, Shoujo, ","20,765",4,20765,Toraware no minoue 
96,Bạn cùng lớp?,Manhua,kuaikanmanhua.,"School Life, Manhua, Đam Mỹ, Shounen-ai, ","20,765",4,20765,Tiết mục vả mặt =)
97,Kono Subarashii Sekai ni Shukufuku wo! Tuyển Tập Megumin Quyển 1,Manga,Đang cập nhật,"Fantasy, Manga, Shounen, ","20,764",4,20764,Chapter 4
98,Vương Bài Âm Sai,Mystery,Đang cập nhật,"Action, Mystery, Manhua, ","20,764",4,20764,Chapter 11
99,Nanai Sanami ga Kiratte Kurenai,School Life,Relucy,"Romance, School Life, Comedy, One Shot, Shounen, ","20,759",4,20759,Nanai sanami ga kiratte kurenai oneshot
100,Merry Bad End,Shoujo,SAKAI Mayu,"Romance, Shoujo, Tragedy, ","20,758",4,20758,Chapter 1
101,"Kanojo ga Iru no ni, Betsu no Onnanoko ni Kokuhaku Sareta",Slice of Life,Hiroyuki,"Slice of Life, School Life, Comedy, One Shot, ","20,757",4,20757,Chapter 6
102,Trái tim của Ma cà rồng,Đam Mỹ,Soonbo,"Romance, Slice of Life, Soft Yaoi, Đam Mỹ, ","20,756",4,20756,Chapter 26
103,Nani mo Nai Kedo Sora wa Aoi,Action,Đang cập nhật,"Drama, Sci-fi, Shounen, Romance, School Life, Action, Manga, ","20,749",4,20749,Chapter 1
104,ZodiacBoys,Comedy,Gehenna,"Slice of Life, Shounen, School Life, Shoujo, Comic, Comedy, ","20,749",4,20749,Chapter 5
105,Peace Maker Kurogane,Shounen,Nanae Chrono,"Action, Drama, Historical, Shounen, ","20,749",4,20749,Chapter 29
106,Fate/Apocrypha 4-koma [Jikan Fansub],Doujinshi,Đang cập nhật,"Fantasy, Comedy, Doujinshi, ","20,749",4,20749,Chapter 4
107,Đã Lâu Không Gặp,Manhua,Yukyu,"Manhua, ","20,745",4,20745,Chapter 56: +57
108,Labyrinth of the Blue King,Tragedy,Đang cập nhật,"Fantasy, Manga, Doujinshi, Tragedy, ","20,728",4,20728,Chapter 1
109,Koi O Kataranai Kuchibiru,Shounen-ai,Nanameguri,"Drama, School Life, Slice of Life, Shounen-ai, ","20,723",4,20723,Koi o kataranai kuchibiru [camellia] chap 4: (end)
110,Q.E.D,Shounen,Katou Motohiro,"Mystery, Psychological, Slice of Life, Shounen, Romance, School Life, Comedy, ","20,720",4,20720,Q.e.d chapter 9.1
111,Murenase! Shiiton Gakuen,School Life,Yamashita Bungo,"Action, Romance, Comedy, School Life, ","31,632",4,31632,Chapter 3
112,Sau Này Vẫn Cứ Thích Em,Manhua,Purple Heart,"Comedy, Manhua, ","20,718",4,20718,Chap 3 
113,Khỉ Biển,Comedy,Sato shuho - Komori Yoichi,"Action, Romance, Comedy, Adventure, ","20,716",4,20716,Chapter 119
114,Life 2 Giver Taker,,Đang cập nhật,", ","20,716",4,20716,Chapter 2.2
115,Khế ước với quỷ của cô gái bất tử,School Life,sứa fuho team,"Mystery, Fantasy, Shoujo, School Life, ","20,715",4,20715,chap 1
116,Nekodamari,Comedy,Goumoto,"Mystery, Seinen, Manhua, Slice of Life, Horror, Manhwa, Shounen, Romance, Fantasy, Shoujo, Adventure, Action, Comedy, ","20,715",4,20715,Chapter 13
117,Hợp Đồng Với Anh Chàng Bảo Mẫu,Romance,Machi Kanna,"Romance, School Life, Manga, ","20,713",4,20713,Chapter 1
118,Kanokon,School Life,"Nozomu Ezomori,Chizuru Minamoto,Oyamada Kouta","Harem, Seinen, Romance, School Life, Supernatural, Comedy, ","20,709",4,20709,Kanokon 
119,Teenage Mutant Ninja Heroes: Turtles In Time,Comic,,"Shounen, Adventure, Action, Comic, Comedy, Martial Arts, ","20,709",4,20709,Teenage mutant ninja heroes: turtles in time #4 [End]
120,The Great Merchant Kim Manduk,Romance,Đang cập nhật,"Drama, Romance, Manga, Historical, ","20,709",4,20709,Chapter 28
121,Artificial Maiden,Manga,NATSUME Satoru,"Sci-fi, Horror, Romance, Shoujo, Gender Bender, Manga, ","20,704",4,20704,Artificial maiden chap 12
