,name,category,author,categories_list,view_count,ratting_value,ratting_count,chapter_cout
0,She hates me,Romance,Đang cập nhật,"Romance, Shoujo, Comedy, ","69,022",4,69022,Chapter 2
1,Lets fall in love,Manhua,Kinh kì công trường,"Fantasy, Manhua, Đam Mỹ, ","69,018",4,69018,Chap 2.2 Ngượng ngùng
2,Hơi ấm,Drama,Hagiwara Saori,"Drama, Romance, Shoujo, One Shot, School Life, ","69,016",4,69016,Chapter 1: One shot
3,Perman,,Đang cập nhật,", ","69,003",4,69003,Chapter 31
4,Northlanders,Comic,Vertigo Comics,"Action, Comic, Adventure, ","69,002",4,69002,Northlanders chapter 49: truyền kỳ iceland 
5,Boku ga Boku de Aru Tame ni,School Life,Đang cập nhật,"Drama, Romance, Comedy, School Life, Shounen, ","69,000",4,69000,Chapter 1
6,Bạn trai quỷ,Webtoon,"Aria, Picklnip","Yuri, Webtoon, ","68,993",4,68993,Chap 0
7,Naruto Doujinshi - Melting Snow,Comedy,Imabboy,"Comedy, One Shot, Doujinshi, ","68,992",4,68992,Naruto doujinshi 
8,Bokurano,Horror,Aigamo Hiroyuki,"Mystery, Drama, Sci-fi, Slice of Life, Horror, Psychological, Mecha, Adventure, Action, Tragedy, ","68,991",4,68991,Bokurano chap 016
9,The Legend Of Maian,Romance,IM Dal-Young,"Shounen, Romance, Fantasy, Adventure, Action, Comedy, Tragedy, ","68,992",4,68992,The legend of maian chap 75
10,Trò Chơi Vô Hạn,Comic,Đang cập nhật,"Action, Manhua, Comic, Xuyên Không, Supernatural, ","68,982",4,68982,Chapter 1
11,AKB48 Satsujin Jiken,Comedy,"Aoyama Goshou,Gotou Masaki","Mystery, Comedy, Adventure, ","68,973",4,68973,Akb48 satsujin jiken chap 9
12,Hải Hổ The Beginning,Adventure,Ôn Nhật Lương,"Action, Manhua, Adventure, Sci-fi, ","68,970",4,68970,Chapter 2: Áo Gia
13,Watashi No Kare Wa Erozonbi,Romance,Đang cập nhật,"Romance, Josei, ","68,968",4,68968,Chapter 1: One shot
14,Danna-sama o sawari wa kinshideu,One Shot,Đang cập nhật,"Slice of Life, Comedy, One Shot, ","68,964",4,68964,Chapter 1.1
15,Uratarou,Fantasy,Nakayama Atsushi,"Action, Fantasy, Adventure, Historical, Shounen, ","68,963",4,68963,Uratarou chương 50
16,Đế Vương Trắc,Shoujo,Đang cập nhật,"Romance, Shoujo, Comedy, Manhua, ","68,968",4,68968,Chapter 219
17,Action,Fantasy,Zero,"VnComic, Fantasy, Slice of Life, Shounen, School Life, Action, Comedy, ","68,960",4,68960,Action mission 10
18,Thiên Đường,Josei,Onion - Shampoo,"Romance, Drama, Josei, Webtoon, Manhwa, ","68,977",4,68977,Chapter 71
19,Tôi Gặp Một Người Yêu 10 Giây,School Life,Đang cập nhật,"Romance, School Life, Shoujo, ","68,947",4,68947,Chapter 3
20,Hirahira-kun Seishun Jingi,Comedy,Adachi Mitsuru - SASAKI Mamoru,"School Life, Comedy, Shounen, ","68,948",4,68948,Hirahira
21,Asa Chun !,Shoujo,Hanaya En,"Romance, Shoujo, Comedy, Tragedy, ","68,943",4,68943,Chapter 2
22,Nam Thần Quốc Dân Triền Thượng Thân,Comedy,Phong Linh Đan Team,"Romance, Comedy, Manhua, ","68,945",4,68945,Chap 7
23,Thác Ái Tổng Tài Điềm Sủng Nhất Sinh,Comedy,Đang cập nhật,"Romance, Comedy, Manhua, ","68,941",4,68941,Chapter 7
24,Divine Melody (Tiên Khúc),Romance,Yi Huan,"Action, Romance, Manhua, Adventure, ","68,937",4,68937,Chapter 22: 
25,Isekai Rakugo,Fantasy,Đang cập nhật,"Fantasy, Comedy, ","68,933",4,68933,Chapter 1
26,Akaiito (MIYASAKA Kaho),Slice of Life,Miyasaka Kaho,"Romance, Slice of Life, Shoujo, Comedy, ","68,932",4,68932,Akaiito (miyasaka kaho) chap 2 
27,Ẩn Hôn 100%: Chọc Tức Vợ Yêu Mua Một Tặng Một,Comedy,Đang Cập Nhật,"Romance, Shoujo, Comedy, Manhua, ","68,953",4,68953,Chapter 259
28,Karada Sagashi,Action,,"Action, Harem, Horror, ","68,924",4,68924,Chap 17
29,Sekai no Owari to Yoakemae,,Đang cập nhật,", ","68,921",4,68921,Chapter 10: 
30,"Man Thê Hữu Độc, Phúc Hắc Lão Công Sủng Thượng Thiên",Romance,Đang cập nhật,"Romance, Manhua, ","68,918",4,68918,Chapter 200
31,Búp bê vệ sĩ,Romance,Hibiki Wataru,"Action, Romance, ","68,913",4,68913,Chapter 4: End
32,Đô Thị Thần Nhãn,Manhua,Đang cập nhật,"Manhua, ","68,914",4,68914,Chapter 19
33,Tôi là một con cá,Slice of Life,phonglong,"Slice of Life, One Shot, VnComic, ","68,910",4,68910,Tôi là một con cá OneShot
34,Hey! Từ bạn chuyển qua yêu được không?,Comedy,Windyss,"School Life, Comedy, ","68,906",4,68906,Chapter 3
35,Love advice from the Great Duke of Hell,Comedy,Đang cập nhật,"Fantasy, Comedy, ","68,907",4,68907,Chapter 47
36,Soredemo Ayumu wa Yosetekuru,Manga,YAMAMOTO Souichirou,"Slice of Life, Shounen, Romance, School Life, Comedy, Manga, ","68,909",4,68909,Chapter 82
37,Nội chiến thế giới đậu,Seinen,SUMERAGI - Katou Youichi,"Action, Drama, Seinen, Comedy, Adventure, ","68,892",4,68892,Chapter 1
38,Người kế vị Yotsuba,Comedy,SATOU Tsutomu - KITAUMI Tsuna,"Harem, Sci-fi, Slice of Life, Shounen, Romance, School Life, Adventure, Action, Comedy, Manga, ","68,878",4,68878,Chapter 1: Cuộc họp mừng năm mới
39,Ibitsu (Kazuto Okada),Seinen,Kazuto Okada,"Drama, Psychological, Romance, Seinen, ","68,876",4,68876,Chapter 5
40,Ước Nguyện - Wish - Clamp,,Đang cập nhật,", ","68,875",4,68875,Chapter 25
41,Hôm nay cũng không biến thành người,Supernatural,TÁC GIẢ: Thuần Ái,"Cổ Đại, Comedy, Supernatural, Đam Mỹ, ","68,873",4,68873,Chương 6
42,Bitch na Anoko no Iutoori,Soft Yaoi,Đang cập nhật,"Soft Yaoi, ","68,863",4,68863,Chapter 1
43,Cuộc Phiêu Lưu,Supernatural,Bạch Lan Hà ,"Romance, Supernatural, ","68,862",4,68862,Chap 06
44,Sachi-iro no One Room,Action,Đang cập nhật,"Action, Adventure, Shounen, ","68,862",4,68862,Chapter 43
45,Yarisugi Companion to Atashi Monogatari,Comedy,Hiramoto Akira,"Seinen, Comedy, ","68,859",4,68859,Yarisugi companion to atashi monogatari chap 12
46,DOCTOR WA AMAI KISU WO SURU,Slice of Life, Kawamaru Shin,"Slice of Life, Romance, Shoujo, One Shot, ","68,858",4,68858,Chương 2 I Love You Doctor!
47,Avatar: The Last Airbender - The Search,Adventure,Dark Horse Comics,"Action, Comic, Comedy, Adventure, ","68,860",4,68860,Chapter 3.3: 
48,"Hangah, Lee",Manhwa,,"Drama, Manhwa, Romance, Fantasy, Shoujo, Adventure, Historical, Comedy, Manga, ","68,845",4,68845,Hang ah chapter 22
50,Đoan não,Horror,Bích Thuỷ Vũ,"Mystery, Slice of Life, Horror, Fantasy, Supernatural, Action, ","68,837",4,68837,Đoan não chap 10
51,Noona: Yeon,Manhwa,Đang cập nhật,"Drama, Manhwa, ","68,838",4,68838,Chapter 13
52,Bất Diệt Nguyên Thần,Mystery,Đang cập nhật,"Action, Mystery, Manhua, Adventure, Shounen, ","68,823",4,68823,Chapter 84
53,HARENCHI,Shoujo,Akira Shouko,"Romance, School Life, Shoujo, Slice of Life, One Shot, ","68,820",4,68820,Harenchi OneShot
54,100 Nichigo Ni Shinu Wani,Slice of Life,Đang cập nhật,"Slice of Life, ","68,822",4,68822,Chapter 100
55,My Song For You [Truyện Sims],Drama,Tết Capricorn,"Drama, Romance, Shoujo, ","68,819",4,68819,Chapter 1
56,9 Giọt lệ cổ tích,Xuyên không,Minh Sugar,"Drama, Fantasy, Romance, Xuyên không, ","68,811",4,68811,Chương 2
57,Wild life Cuộc Sống Hoang Dã,Comedy,Fujisaki masato,"Romance, Slice of Life, Comedy, Shounen, ","68,809",4,68809,Chapter 164
58,All Day Jo Ayoung,Webtoon,,"Slice of Life, Comedy, Webtoon, ","68,804",4,68804,All day jo ayoung chapter 15
59,Không Bao Giờ Hiểu,Comedy,Bbong,"Drama, Manhwa, Romance, School Life, Shounen-ai, Comedy, ","68,796",4,68796,Chapter 21
60,Trùng Sinh Không Gian: Cô Vợ Hào Môn Nóng Bỏng Không Dễ Chọc,Xuyên Không,iCiyuan & Doro - Melody Happy Group,"Drama, Romance, Xuyên Không, Manhua, Supernatural, ","68,786",4,68786,Chapter 25
61,ĐẠI GIÁ KHẾ ƯỚC,Drama,tieuduong111,"Cổ Đại, Drama, Comedy, Manhua, ","68,779",4,68779,chap 2
62,Tu Chân Thế Giới (Goccay),Adventure,Phương Tưởng,"Action, Mystery, Manhua, Adventure, ","68,779",4,68779,Chapter 32
63,Giáng Sinh Ở Thành Phố Ma Thuật,Mystery,,"Mystery, Drama, Fantasy, Supernatural, Action, Comedy, ","68,775",4,68775,Giáng sinh ở thành phố ma thuật 
64,Rairaiden,Comedy,Kodama Yuuki,"Action, Comedy, One Shot, ","68,772",4,68772,Chapter 1: One shot
65,Suteinu Ni Honey Toast,Manga,HANAYA En,"Romance, School Life, Shoujo, Manga, ","68,886",4,68886,Chapter 4
66,Võ Linh Kiếm Tôn,Cổ Đại,Đang cập nhật,"Cổ Đại, Manhua, ","68,776",4,68776,Chapter 138
67,Xin Đừng Coi Là Bạn,Shoujo,Kawahara Kazune,"Drama, One Shot, Romance, School Life, Shoujo, Comedy, ","68,767",4,68767,Xin đừng coi là bạn oneshot
68,Brothers,Slice of Life,"OTSUKA Eiji,Tajima Sho-u","Slice of Life, School Life, Comedy, ","68,760",4,68760,Brothers chap 12
69,Mosspaca Advertising Department,Comedy,Tan Jiu - Old Xian,"Slice of Life, Comedy, ","68,763",4,68763,Chapter 87
70,Sanzokuou - Sơn tặc Seyu,Action,Sawada Hirofumi,"Action, Comedy, Historical, Shounen, ","68,756",4,68756,Chapter 51
71,Fighting Love,Action,Yamada Yugi,"Action, School Life, One Shot, Manga, ","68,754",4,68754,Chapter 2000
72,Hào môn cường sủng: vật chơi 100 ngày của tổng tài,Shoujo,Đang cập nhật,"Romance, Shoujo, Comedy, Manhua, ","68,749",4,68749,Chapter 8
73,Biển Rừng Yêu Quái,Adventure,Đang cập nhật,"Romance, Adventure, ","68,746",4,68746,Chapter 9
74,Orokamono no Koi,Romance,Nanao Mio,"Drama, Romance, Shoujo, ","68,740",4,68740,Orokamono no koi chap 4
75,Lazy Dungeon Master,Adventure,Đang cập nhật,"Harem, Romance, Fantasy, Adventure, Action, Comedy, ","68,737",4,68737,Chapter 4
76,Chưởng gia tiểu nương tử,Romance,Họa Kỳ Y,"Cổ Đại, Romance, Xuyên không, Manhua, ","91,239",4,91239,Chap 4
77,Desire,One Shot,Đang cập nhật,"One Shot, Doujinshi, Shoujo-ai, ","68,722",4,68722,Chapter 1: One shot
78,Truyện Ngắn Của Nanzaki Iku - Bản Full Chất Lượng Cao,Soft Yuri,Nanzaki Iku,"Drama, Romance, Soft Yuri, Shoujo-ai, School Life, ","68,723",4,68723,Truyện ngắn của nanzaki iku chap 4 
79,Nàng Công Chúa Ham Chơi,Comedy,Đang cập nhật,"Romance, Comedy, ","68,713",4,68713,Chapter 12
80,Hiniiru,Supernatural,KATOU Yuuichi,"Action, Supernatural, Manga, ","68,712",4,68712,Hiniiru 
81,Free! dj - Himitsu no Shower Room,One Shot,2bit,"School Life, Shoujo Ai, One Shot, Doujinshi, Shounen, ","68,711",4,68711,Chapter 1: One shot
82,Star Child,Shoujo,Hashino Mao,"Romance, Fantasy, Shoujo, Slice of Life, ","68,712",4,68712,Chapter 7
83,Mizugi no Sekai,Comedy,BOSSHI,"Romance, School Life, Seinen, Comedy, Fantasy, ","68,706",4,68706,Mizugi no sekai one shot!
84,Lời Thề Như Sương Triều,Manhua,Sang Chảnh Team,"Romance, Manhua, ","68,704",4,68704,Chapter 19
85,Mùa thu năm ấy,School Life,Tỷ Tỷ Thần,"School Life, Manhua, Đam Mỹ, ","68,697",4,68697,Chương 8 : người ấy đã về
86,Ảnh Hậu Thời Gian,Supernatural,Hương Thảo Đóa Vũ,"Drama, Romance, Shoujo, Manhua, Supernatural, ","89,194",4,89194,Ảnh hậu thời gian – chap 8
87,Bạn Gái Của Tôi Là Rồng Dữ,Comedy,,"Manhua, Fantasy, Shoujo, Supernatural, Action, Comedy, ","68,688",4,68688,Chapter 3
88,Super Robot Taisen OG - Divine Wars - Record of ATX,Sci-fi,"SR Produce Team,Yatsufusa Tatsunosuke","Sci-fi, Shounen, Romance, Mecha, Adventure, Action, ","68,681",4,68681,Super robot taisen og 
89,Urami-san wa Kyou mo Ayaui,School Life,Đang cập nhật,"Romance, School Life, Comedy, Slice of Life, Shounen, ","68,679",4,68679,Chapter 8: Khi cô bạn của tôi kết bạn mới
